ID;Название;Web-анонс;Web-название;Web-описание
3459;e10-i141;;;
3465;e9-p62 СНЯТ С ПРОИЗВОДСТВА;;;
3466;e9-p123;;;
3471;ec9;;;
3472;e10-c153;;;
3473;e10-c303;;;
3968;e10-i83 Интегрируемое оборудование для маркировки;;;
4083;e1-p63c;;;
4123;E-mark;;;
4124;e1-p123;;;
4125;e10-p63;;;
4159;ec1;;;
4217;e10-i53;;;
123755;Портативный маркиратор E-mark, окно 60x25мм;Маркировочное окно 60х25мм или 120х40мм (для E-mark XL). До 200 маркировок в смену. Подключение к ПК не требуется.;Портативный маркиратор E-mark, окно 60x25мм;"&lt;p style=&quot;text-align: justify;&quot;&gt;Автономный ударно-точечный маркиратор &lt;strong&gt;E-mark&lt;/strong&gt; идеально подходит для маркировки крупногабаритных деталей и стационарных конструкций.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Максимальная мобильность благодаря объединению контроллера и маркирующего механизма в едином эргономичном и прочном корпусе!&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Увеличенное до 120х40мм маркировочное окно в версии &lt;strong&gt;E-mark XL&lt;/strong&gt;.&lt;/p&gt;"
123756;Портативный маркиратор E-markXL, окно 120x40мм;;E-mark;"&lt;p style=&quot;text-align: justify;&quot;&gt;Автономный ударно-точечный маркиратор &lt;strong&gt;E-mark&lt;/strong&gt; идеально подходит для маркировки крупногабаритных деталей и стационарных конструкций.&lt;/p&gt;&lt;p style=&quot;text-align: justify;&quot;&gt;Максимальная мобильность благодаря объединению контроллера и маркирующего механизма в едином эргономичном и прочном корпусе!&lt;/p&gt;&lt;p style=&quot;text-align: justify;&quot;&gt;Увеличенное до 120х40мм маркировочное окно в версии &lt;strong&gt;E-mark XL&lt;/strong&gt;.&lt;/p&gt;"
123767;Портативный маркиратор e1-p123, окно 120х25мм, кабель 2.5м;;e1-p123;"&lt;p style=&quot;text-align: justify;&quot;&gt;Маркировочное окно &lt;strong&gt;e1-p123&lt;/strong&gt; позволяет разместить больше информации на маркируемой детали и увеличить размер символов для лучшей читаемости маркировки.&lt;/p&gt;&lt;p style=&quot;text-align: justify;&quot;&gt;Технологичная конструкция максимально облегчает оборудование, обеспечивая высокую надежность и длительный срок службы.&lt;/p&gt;&lt;p style=&quot;text-align: justify;&quot;&gt;&lt;strong&gt;Удобен для маркировки крупногабаритных деталей и стационарных конструкций.&lt;/strong&gt;&lt;/p&gt;"
123768;Портативный маркиратор e1-p123, окно 120х40мм, кабель 2.5м;Маркировочное окно 120х25 или 120х40мм. До 200 маркировок в смену. Подключение к ПК не требуется.;Портативный маркиратор e1-p123, окно 120х40мм, кабель 2.5м;"&lt;p style=&quot;text-align: justify;&quot;&gt;Маркировочное окно &lt;strong&gt;e1-p123&lt;/strong&gt; позволяет разместить больше информации на маркируемой детали и увеличить размер символов для лучшей читаемости маркировки.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Технологичная конструкция максимально облегчает оборудование, обеспечивая высокую надежность и длительный срок службы.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;&lt;strong&gt;Удобен для маркировки крупногабаритных деталей и стационарных конструкций.&lt;/strong&gt;&lt;/p&gt;"
123769;Портативный маркиратор e1-p63c, окно 60х25мм, кабель 2.5м;Маркировочное окно 60х25мм. До 200 маркировок в смену. Подключение к ПК не требуется.;Портативный маркиратор e1-p63c, окно 60х25мм, кабель 2.5м;"&lt;p style=&quot;text-align: justify;&quot;&gt;Новый портативный ударно-точечный маркиратор от SIC Marking подойдет для решения всех ваших задач по маркировке.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;&lt;strong&gt;e1-p63c&lt;/strong&gt; специально разработан для маркировки крупногабаритных деталей и нанесения маркировки в труднодоступных местах. Благодаря компактному размеру и малому весу &lt;strong&gt;p63c&lt;/strong&gt;, маркировка стала проще и удобнее.&lt;/p&gt;"
123772;Стационарный маркиратор e10-c153, окно 160х100мм;Маркировочное окно 100х160мм. Стол и колонна в комплекте. Подключение к ПК не требуется.;Стационарный маркиратор e10-c153, окно 160х100мм;"&lt;p style=&quot;text-align: justify;&quot;&gt;Предназначен для промышленной маркировки небольших и средних деталей. Высокая скорость и исключительная надежность позволяют c153 эффективно решать большинство производственных задач по маркировке металлов и пластиков.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Массивный корпус из стали и алюминиевых сплавов обеспечивает надежную защиту механических узлов и устойчивость, что облегчает организацию комфортного рабочего места. Цифровой указатель позиции по вертикальной оси упрощает и значительно ускоряет настройку оборудования перед каждой маркировочной операцией.&lt;/p&gt;"
123773;Стационарный маркиратор e10-c153ZA, окно 160х100мм, автосенсинг;;;
123774;Стационарный маркиратор e10-c303, окно 300х150мм;Маркировочное окно 300х150мм. Стол и колонна в комплекте. Подключение к ПК не требуется.;Стационарный маркиратор e10-c303, окно 300х150мм;"&lt;p style=&quot;text-align: justify;&quot;&gt;Предназначен для промышленной маркировки небольших и средних деталей. Сохраняя все достоинства c153, маркиратор c303 обладает увеличенным маркировочным окном 300х150 мм, что позволяет размещать больше информации на маркируемой детали.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Цифровой указатель позиции по вертикальной оси упрощает и значительно ускоряет настройку оборудования перед каждой маркировочной операцией.&lt;/p&gt;"
123781;Интегрируемый маркиратор e10-i53, окно 50х20мм;Маркировочное окно 50х20мм Для серийного производства Подключение к ПК не требуется Ультракомпактный;Интегрируемый маркиратор e10-i53, окно 50х20мм;"&lt;p style=&quot;text-align: justify;&quot;&gt;Сверхкомпактный интегрируемый маркиратор для промышленной маркировки. Маркиратор i53 разработан для интеграции в автоматизированные линии и может быть размещен практически на любом участке линии в удобной ориентации.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Защита механических узлов и электронных компонентов позволяет интегрировать i53 на самые сложные производственные участки и обеспечивает высокую надежность оборудования.&lt;/p&gt;"
123784;Интегрируемый маркиратор e10-i83, окно 80х70мм;Маркировочное окно 80х70 мм Для серийного производства Подключение к ПК не требуется Встраивается в производственную линию;Интегрируемый маркиратор e10-i83, окно 80х70мм;"&lt;p style=&quot;text-align: justify;&quot;&gt;Маркиратор i83 разработан для интеграции в автоматизированные линии и может быть размещен практически на любом участке линии, в удобной ориентации.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Маркировочное окно 80х70 мм позволяет разместить всю необходимую информацию на маркируемой детали или увеличить размер символов для лучшей читаемости маркировки.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Защита механических узлов и электронных компонентов позволяет интегрировать i83 на самые сложные производственные участки и обеспечивает высокую надежность оборудования.&lt;/p&gt;"
123786;Портативный маркиратор e10-p123, окно 120х25мм, кабель 7.5м;;e10-p123 ;"&lt;p style=&quot;text-align: justify;&quot;&gt;Промышленное оборудование для ударно-точечной маркировки. Маркировочное окно &lt;strong&gt;e10-p123&lt;/strong&gt; позволяет разместить больше информации на маркируемой детали и увеличить размер символов для лучшей читаемости маркировки.&lt;/p&gt;&lt;p style=&quot;text-align: justify;&quot;&gt;Технологичная конструкция максимально облегчает оборудование, обеспечивая высокую надежность и длительный срок службы. Удобен для маркировки крупногабаритных деталей и стационарных конструкций.&lt;/p&gt;&lt;p style=&quot;text-align: justify;&quot;&gt;Код товара: &lt;strong&gt;e10-p123&lt;/strong&gt;&lt;/p&gt;"
123787;Портативный маркиратор e10-p123, окно 120х40мм, кабель 7.5м;Маркировочное окно 120х25 или 120х40мм. Для серийного производства. Большой выбор специальных опций. Подключение к ПК не требуется;Портативный маркиратор e10-p123, окно 120х40мм, кабель 7.5м;"&lt;p style=&quot;text-align: justify;&quot;&gt;Промышленное оборудование для ударно-точечной маркировки. Маркировочное окно &lt;strong&gt;e10-p123&lt;/strong&gt; позволяет разместить больше информации на маркируемой детали и увеличить размер символов для лучшей читаемости маркировки.&lt;/p&gt;&lt;p style=&quot;text-align: justify;&quot;&gt;Технологичная конструкция максимально облегчает оборудование, обеспечивая высокую надежность и длительный срок службы. Удобен для маркировки крупногабаритных деталей и стационарных конструкций.&lt;/p&gt;&lt;p style=&quot;text-align: justify;&quot;&gt;Артикул товара: &lt;strong&gt;e10-p123&lt;/strong&gt;&lt;/p&gt;"
123791;Портативный маркиратор e10-p123, окно 120х25мм, кабель 7.5м, электромагнитный прижим (2 магнита);;;
