ID;Название;Сечение
139294;"PES 1&quot;(25.4/12.7мм,зел.) Термоус.трубка&quot;";
139295;"PES 1&quot;(25.4/12.7мм,бел.) Термоус.трубка&quot;";
139296;"PES 1&quot;(25.4/12.7мм,чер.) Термоус.трубка&quot;";
139297;Термотрубка DERAY-PES 31,8мм (желтая);
139298;Термотрубка DERAY-PES 31,8мм (красная);
139299;"PES 1/16&quot;(1.6/0.8мм,проз.) Термоус.трубка&quot;";
139300;"PES 1/16&quot;(1.6/0.8мм,жел.) Термоус.трубка&quot;";
139301;"PES 1/16&quot;(1.6/0.8мм,крас.) Термоус.трубка&quot;";
139302;"PES 1/16&quot;(1.6/0.8мм,син.) Термоус.трубка&quot;";
139303;"PES 1/16&quot;(1.6/0.8мм,зел.) Термоус.трубка&quot;";
139304;"PES 1/16&quot;(1.6/0.8мм,бел.) Термоус.трубка&quot;";
139305;"PES 1/16&quot;(1.6/0.8мм,чер.) Термоус.трубка&quot;";
139306;"PES 3/32&quot;(2.4/1.2мм,проз.) Термоус.трубка&quot;";
139307;"PES 3/32&quot;(2.4/1.2мм,жел.) Термоус.трубка&quot;";
139308;"PES 3/32&quot;(2.4/1.2мм,крас.) Термоус.трубка&quot;";
139309;"PES 3/32&quot;(2.4/1.2мм,син.) Термоус.трубка&quot;";
139310;"PES 3/32&quot;(2.4/1.2мм,зел.) Термоус.трубка&quot;";
139311;"PES 3/32&quot;(2.4/1.2мм,бел.) Термоус.трубка&quot;";
139312;"PES 3/32&quot;(2.4/1.2мм,чер.) Термоус.трубка&quot;";
139313;"PES 1/8&quot;(3.2/1.6мм,проз.) Термоус.трубка&quot;";
139314;"PES 1/8&quot;(3.2/1.6мм,жел.) Термоус.трубка&quot;";
139315;"PES 1/8&quot;(3.2/1.6мм,крас.) Термоус.трубка&quot;";
139316;"PES 1/8&quot;(3.2/1.6мм,син.) Термоус.трубка&quot;";
139317;"PES 1/8&quot;(3.2/1.6мм,зел.) Термоус.трубка&quot;";
139318;"PES 1/8&quot;(3.2/1.6мм,бел.) Термоус.трубка&quot;";
139319;"PES 1/8&quot;(3.2/1.6мм,чер.) Термоус.трубка&quot;";
139320;"PES 3/16&quot;(4.8/2.4мм,проз.) Термоус.трубка&quot;";
139321;"PES 3/16&quot;(4.8/2.4мм,жел.) Термоус.трубка&quot;";
139322;"PES 3/16&quot;(4.8/2.4мм,крас.) Термоус.трубка&quot;";
139323;"PES 3/16&quot;(4.8/2.4мм,син.) Термоус.трубка&quot;";
139324;"PES 3/16&quot;(4.8/2.4мм,зел.) Термоус.трубка&quot;";
139325;"PES 3/16&quot;(4.8/2.4мм,бел.) Термоус.трубка&quot;";
139326;"PES 3/16&quot;(4.8/2.4мм,чер.) Термоус.трубка&quot;";
139327;"PES 1/4&quot;(6.4/3.2мм,проз.) Термоус.трубка&quot;";
139328;"PES 1/4&quot;(6.4/3.2мм,жел.) Термоус.трубка&quot;";
139329;"PES 1/4&quot;(6.4/3.2мм,крас.) Термоус.трубка&quot;";
139330;"PES 1/4&quot;(6.4/3.2мм,син.) Термоус.трубка&quot;";
139331;"PES 1/4&quot;(6.4/3.2мм,зел.) Термоус.трубка&quot;";
139332;"PES 1/4&quot;(6.4/3.2мм,бел.) Термоус.трубка&quot;";
139333;"PES 1/4&quot;(6.4/3.2мм,чер.) Термоус.трубка&quot;";
139334;"PES 3/8&quot;(9.5/4.8мм,проз.) Термоус.трубка&quot;";
139335;"PES 3/8&quot;(9.5/4.8мм,жел.) Термоус.трубка&quot;";
139336;"PES 3/8&quot;(9.5/4.8мм,крас.) Термоус.трубка&quot;";
139337;"PES 3/8&quot;(9.5/4.8мм,син.) Термоус.трубка&quot;";
139338;"PES 3/8&quot;(9.5/4.8мм,зел.) Термоус.трубка&quot;";
139339;"PES 3/8&quot;(9.5/4.8мм,бел.) Термоус.трубка&quot;";
139340;"PES 3/8&quot;(9.5/4.8мм,чер.) Термоус.трубка&quot;";
139341;"PES 1/2&quot;(12.7/6.4мм,проз.) Термоус.трубка&quot;";
139342;"PES 1/2&quot;(12.7/6.4мм,жел.) Термоус.трубка&quot;";
139343;"PES 1/2&quot;(12.7/6.4мм,крас.) Термоус.трубка&quot;";
139344;"PES 1/2&quot;(12.7/6.4мм,син.) Термоус.трубка&quot;";
139345;"PES 1/2&quot;(12.7/6.4мм,зел.) Термоус.трубка&quot;";
139346;"PES 1/2&quot;(12.7/6.4мм,бел.) Термоус.трубка&quot;";
139347;"PES 1/2&quot;(12.7/6.4мм,чер.) Термоус.трубка&quot;";
139348;"PES 3/4&quot;(19.0/9.5мм,проз.) Термоус.трубка&quot;";
139349;"PES 3/4&quot;(19.0/9.5мм,жел.) Термоус.трубка&quot;";
139350;"PES 3/4&quot;(19.0/9.5мм,крас.) Термоус.трубка&quot;";
139351;"PES 3/4&quot;(19.0/9.5мм,син.) Термоус.трубка&quot;";
139352;"PES 3/4&quot;(19.0/9.5мм,зел.) Термоус.трубка&quot;";
139353;"PES 3/4&quot;(19.0/9.5мм,бел.) Термоус.трубка&quot;";
139354;"PES 3/4&quot;(19.0/9.5мм,чер.) Термоус.трубка&quot;";
139355;"PES 1&quot;(25.4/12.7мм,проз.) Термоус.трубка&quot;";
139356;"PES 1&quot;(25.4/12.7мм,жел.) Термоус.трубка&quot;";
139357;"PES 1&quot;(25.4/12.7мм,крас.) Термоус.трубка&quot;";
139358;"PES 1&quot;(25.4/12.7мм,син.) Термоус.трубка&quot;";
139359;"PES 1&quot;(25.4/12.7мм,зел.) Термоус.трубка&quot;";
139360;"PES 1&quot;(25.4/12.7мм,бел.) Термоус.трубка&quot;";
139361;"PES 1&quot;(25.4/12.7мм,чер.) Термоус.трубка&quot;";
139362;"PES 1 1/2&quot;(38.0/19.0мм,проз.) Термоус.трубка&quot;";
139363;"PES 1 1/2&quot;(38.0/19.0мм,жел.) Термоус.трубка&quot;";
139364;"PES 1 1/2&quot;(38.0/19.0мм,крас.) Термоус.трубка&quot;";
139365;"PES 1 1/2&quot;(38.0/19.0мм,син.) Термоус.трубка&quot;";
139366;"PES 1 1/2&quot;(38.0/19.0мм,зел.) Термоус.трубка&quot;";
139367;"PES 1 1/2&quot;(38.0/19.0мм,бел.) Термоус.трубка&quot;";
139368;"PES 1 1/2&quot;(38.0/19.0мм,чер.) Термоус.трубка&quot;";
139369;CCB2 33,0/14,0 мм Термоусадочные двупалые перчатки;
139370;CCB2 50,0/21,0 мм Термоусадочные двупалые перчатки;
139371;CCB3 38,0/11,0 мм Термоусадочные трехпалые перчатки;
