id;Title;Content;Товар Бренд;Товар Кастомный артикул;Категории товаров;Категории товаров;;;;;;
2648;EXZHELLENT XXI ES 05Z1-K;"<p>Монтажные провода <span style=""color: #00a9e0;""><strong>EXZhellent XXI ES 05Z1-K</strong></span> и <span style=""color: #00a9e0;""><strong>H07Z1-K</strong></span> рекомендованы для систем передачи электроэнергии внутри помещений, в жилом секторе, на промышленных, общественных предприятиях (офисы, торговые и развлекательные центры, медицинские учреждения и т.д.) и транспорте. Особенно эффективно использование данного типа провода в условиях крайнего Севера, Сибири и Дальнего Востока, а так же в нефтегазовой промышленности.</p>
<p><a class=""download"" href=""#"">Скачать руководство</a></p>
<table id=""techicons"" class=""table table-bordered"">
<tbody>
<tr>
<td>
<div class=""first"">1</div>
</td>
<td>
<div class=""fourth"">4</div>
</td>
<td>
<div class=""sixth"">6</div>
</td>
<td>
<div class=""seventh"">7</div>
</td>
<td>
<div class=""eighth"">8</div>
</td>
<td>
<div class=""ninth"">9</div>
</td>
<td>
<div class=""tenth"">10</div>
</td>
</tr>
<tr>
<td>Морозоустойчивый -48/-55°C</td>
<td>Гибкие проводники</td>
<td>Не поддерживает горения (одиночный кабель)</td>
<td>Не выделяет кислотных газов</td>
<td>Без галогенов</td>
<td>Минимальное выделение дыма</td>
<td>Не поддерживает горения (пучок кабелей)</td>
</tr>
</tbody>
</table>";General Cable;;Кабель и провод;Кабель и провод;Монтажный провод;Монтажный провод;;;;
2649;Гибкий силовой кабель ENERGY RV-K FOC с изоляцией проводников из сшитого полиэтилена;"<p>Силовой кабель <span style=""color: #00a9e0;""><strong>ENERGY RV-K FOC</strong></span> используется для подачи электроэнергии от трансформаторной подстанции до предприятия<br />и разводки по цехам. Также кабель может использоваться в закрытых каналах и под штукатуркой в жилищном строительстве, в том числе<br />низко-квалифицированным персоналом.<br />В линейке этого силового кабеля есть бронированная и экранированные версии, а также специализированные кабели для использования<br />в нефтегазовой промышленности с повышенной устойчивостью к продуктам нефтепереработки. Информация предоставляется по запросу.</p>
<p><a class=""download"" href=""#"">Скачать руководство</a></p>
<table class=""table table-bordered"">
<tbody>
<tr>
<td>
<div class=""second"">2</div>
</td>
<td>
<div class=""third"">3</div>
</td>
<td>
<div class=""fourth"">4</div>
</td>
<td>
<div class=""fifth"">5</div>
</td>
<td>
<div class=""sixth"">6</div>
</td>
</tr>
<tr>
<td>Минимальный радиус изгиба</td>
<td>Гибкие секторные проводники</td>
<td>Гибкие проводники</td>
<td>Максимальная рабочая температура +90°C</td>
<td>Не поддерживает горения (одиночный кабель)</td>
</tr>
</tbody>
</table>";General Cable;;Кабель и провод;Кабель и провод;Силовой кабель;Силовой кабель;;;;
2651;Гибкий силовой кабель EXZHELLENT XXI RZ1-K 0,6/1 кВ нГ-LS-HF повышенной пожарной безопасности;"<p>Кабели <span style=""color: #00a9e0;""><strong>EXZHELLENT XXI RZ1-K</strong></span> обладают рядом уникальных свойств, таких как гибкость, пожарная безопасность, универсальность и высокая перегрузочная способность, что позволяет рекомендовать их как качественную замену кабелям ВВГ, КГ, NYM, NYY.</p>
<p>Силовой кабель <strong><span style=""color: #00a9e0;"">EXZHELLENT XXI RZ1-K</span></strong> используется для подачи электроэнергии от трансформаторной подстанции до предприятия иразводки по офисам и цехам. Кабель так же рекомендован для использования в жилищном строительстве, многофункциональных комплексах, больницах, торговых центрах и инфраструктуре транспортных предприятий, где имеются требования повышенной пожарной безопасности персонала.</p>
<p><a class=""download"" href=""#"">Скачать руководство</a></p>
<table class=""table table-bordered"">
<tbody>
<tr>
<td>
<div class=""first"">1</div>
</td>
<td>
<div class=""second"">2</div>
</td>
<td>
<div class=""third"">3</div>
</td>
<td>
<div class=""fourth"">4</div>
</td>
<td>
<div class=""fifth"">5</div>
</td>
<td>
<div class=""sixth"">6</div>
</td>
<td>
<div class=""seventh"">7</div>
</td>
<td>
<div class=""eighth"">8</div>
</td>
<td>
<div class=""ninth"">9</div>
</td>
<td>
<div class=""tenth"">10</div>
</td>
</tr>
<tr>
<td>Морозоустойчивый -48/-55°C</td>
<td>Минимальный радиус изгиба</td>
<td>Гибкие секторные проводники</td>
<td>Гибкие проводники</td>
<td>Максимальная рабочая температура +90°C</td>
<td>Не поддерживает горения (одиночный кабель)</td>
<td>Не выделяет кислотных газов</td>
<td>Без галогенов</td>
<td>Минимальное выделение дыма</td>
<td>Не поддерживает горения (пучок кабелей)</td>
</tr>
</tbody>
</table>";General Cable;;Кабель и провод;Кабель и провод;Силовой кабель;Силовой кабель;;;;
2653;Гибкий силовой кабель FLEGIGRON 750 H07RN-F в резиновой изоляции;"<p><span style=""color: #00a9e0;""><strong>FLEGIGRON 750 HO7RN-</strong></span><span style=""color: #00a9e0;""><strong>F</strong></span> силовой кабель в резиновой изоляции отличается эластичностью и повышенной износостойкостью, хорошей устойчивостью к маслам и растворителям, перепадам температур и воздействию влаги, а также ультрафиолетовому излучению. Кабель рассчитан на линии различной мощности и разные условия эксплуатации в промышленном и бытовом секторе.</p>
<p>Кабели с резиновой изоляцией могут работать в сложных условиях и предназначены для использования в условиях воздействия механической нагрузки в земле, воде, на открытом воздухе, в бетоне и внутренних помещениях, в кабельных каналах. Эти кабели применяются для подключения, используемого в производстве оборудования, промышленного и бытового электроинструмента, для подключения передвижных электростанций и других производственных установок и в распределительных устройствах. Кабели могут использоваться для прокладки в помещениях, или непосредственно по частям машин и механизмов, например в лифтах и подъемных кранах.</p>
<p><a class=""download"" href=""#"">Скачать руководство</a></p>
<table class=""table table-bordered"">
<tbody>
<tr>
<td>
<div class=""fourth"">4</div>
</td>
<td>
<div class=""fifth"">5</div>
</td>
<td>
<div class=""sixth"">6</div>
</td>
<td>
<div class=""twelfth"">12</div>
</td>
<td>
<div class=""thirteenth"">13</div>
</td>
</tr>
<tr>
<td>Гибкие проводники</td>
<td>Максимальная рабочая температура +90°C</td>
<td>Не поддерживает горения (одиночный кабель)</td>
<td>Устойчивость к погодным условиям</td>
<td>Маслостойкость</td>
</tr>
</tbody>
</table>";General Cable;;Кабель и провод;Кабель и провод;Силовой кабель;Силовой кабель;;;;
2655;Огнеупорный кабель GENFIRE ALARM SO2Z1 PH-120-LS-HF;"<p><strong><span style=""color: #00a9e0;"">GENFIRE ALARM SO2Z1 PH-120-LS-HF</span></strong> используется для подключения пожарных датчиков, систем, пожарной сигнализации, аварийного освещения, голосового оповещения и других систем жизнеобеспечения общественных зданий, где в случае пожара необходимо минимизировать человеческие и материальные потери.</p>
<p>Данный тип кабеля сохраняет работоспособность в открытом пламени и периодическом ударном механическом воздействии более 120 минут (стандарт EN 50200 PH-120).</p>
<p><a class=""download"" href=""#"">Скачать руководство</a></p>
<table class=""table table-bordered"">
<tbody>
<tr>
<td>
<div class=""fifth"">5</div>
</td>
<td>
<div class=""sixth"">6</div>
</td>
<td>
<div class=""seventh"">7</div>
</td>
<td>
<div class=""eighth"">8</div>
</td>
<td>
<div class=""ninth"">9</div>
</td>
<td>
<div class=""eleventh"">11</div>
</td>
</tr>
<tr>
<td>Максимальная рабочая температура +90°C</td>
<td>Не поддерживает горения (одиночный кабель)</td>
<td>Не выделяет кислотных газов</td>
<td>Без галогенов</td>
<td>Минимальное выделение дыма</td>
<td>Огнеупорный</td>
</tr>
</tbody>
</table>";General Cable;;Кабель и провод;Кабель и провод;Огнеупорный кабель;Огнеупорный кабель;;;;
2657;Кабель контрольный BIGGFLEX H05VV-F;"<p>Кабель <strong><span style=""color: #00a9e0;"">BIGGFLEG H05VV-F</span></strong> используются в качестве кабелей управления и соединительных кабелей при производстве различного оборудования в станкостроительной промышленности, а также при установке и соединении стационарного или мобильного электрооборудования. Рекомендуются для использованию в пищевой промышленности, пивной и безалкогольной, отлично зарекомендовали в разливочных цехах и прачечных.</p>
<p><a class=""download"" href=""#"">Скачать руководство</a></p>
<table class=""table table-bordered"">
<tbody>
<tr>
<td>
<div class=""fourth"">4</div>
</td>
<td>
<div class=""sixth"">6</div>
</td>
</tr>
<tr>
<td>Гибкие проводники</td>
<td>Не поддерживает горения (одиночный кабель)</td>
</tr>
</tbody>
</table>";General Cable;;Кабель и провод;Кабель и провод;Контрольные кабели и кабели управления;Контрольные кабели и кабели управления;;;;
2659;e10-i141;"<table class=""table table-bordered"">
<tbody>
<tr align=""center"">
<td width=""33%"">
<p align=""center""><img src=""/images/tech/i141.jpg"" alt=""Интегрируемое оборудование для маркировки e8-i51, e8-i81, e8-i141"" width=""175"" height=""175"" /></p>
<p><strong>e10-i141<br />Устройство ударно-точечной механической<br />маркировки для интеграции в производственную линию </strong></p>
</td>
</tr>
</tbody>
<tbody>
<tr>
<td width=""33%"">Маркировочное окно 150х100мм</td>
</tr>
<tr>
<td width=""33%"">248,5х354х354</td>
</tr>
<tr>
<td width=""33%"">12</td>
</tr>
</tbody>
</table>
<p><br /><strong>Эргономичный - Надежный - ""Вечная"" маркировка</strong></p>
<p><strong>ПРЕИМУЩЕСТВА</strong> <br /> - Безопасное использование <br /> - Качество маркировки <br /> - Единственный источник энергии (электричество, не требует подачи сжатого воздуха) <br /> - Не требует расходных материалов<br /> - Не требует подключения к ПК<br /> - Защита исполнительного механизма</p>";SIC;sice10-i141;Механическая маркировка;Механическая маркировка;Ударно-точечная маркировка;Ударно-точечная маркировка;Интегрируемое оборудование;Интегрируемое оборудование;;
2660;Алюминиевые замковые множители под этикетку;"<p> </p>
<ul style=""overflow: hidden;"">
<li>Изготовлены из алюминия</li>
<li>Доступны в различных цветах</li>
<li>Можно использовать 6 навесных замков</li>
</ul>";;gws225196, gws225198, gws265399;Промышленная безопасность;Промышленная безопасность;LOCKOUT TAGOUT;LOCKOUT TAGOUT;Групповая блокировка;Групповая блокировка;Замковые множители алюминиевые;Замковые множители алюминиевые
2662;Нейлоновый замковый множитель;"<p> </p>
<ul class=""content_list"">
<li>Полностью диэлектричен</li>
<li>Выдерживает до 450 кг при весе 30 г</li>
<li>Дужка затвора подходит к отверстиям диаметром от 7 мм</li>
<li>Имеет 6 отверстий для навесных замков</li>
<li>Подходит <span>для использовании в зонах класса 0 группы <span>IIА, класса 1 группы</span> IIВ, <span>класса 2 группы</span><span> IIС, а также в</span> зоне класса 20 взрывоопасности Ex</span></li>
</ul>";;gws236916;Промышленная безопасность;Промышленная безопасность;LOCKOUT TAGOUT;LOCKOUT TAGOUT;Групповая блокировка;Групповая блокировка;Замковые множители диэлектрические;Замковые множители диэлектрические
2664;Непроводящий замковый множитель;"<p> </p>
<ul>
<li>Изготовлен из прочного пластичного полимера</li>
<li>Устойчив к воздействию химических веществ и экстремальных температур </li>
<li>Дужка замкового множителя подходит к отверстиям диаметром от 10 мм</li>
</ul>";;gws45582;Промышленная безопасность;Промышленная безопасность;LOCKOUT TAGOUT;LOCKOUT TAGOUT;Групповая блокировка;Групповая блокировка;Замковые множители диэлектрические;Замковые множители диэлектрические
