IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
181947;Обновление прайс-листа BRADY;181947;Y;11.01.2018 17:02:00;;/upload/iblock/e5e/e5e529e9c9fee9de5fde11fcc166a9ca.jpg;"<p>
	<a href=""dealer/news/1073-obnovlenie-prajs-lista-brady""><img src=""images/1394.jpg"" alt=""""></a>Прайс-лист обновлен 11 января 2018 года в 16:00 (МСК) и доступен для скачивания в ЭСРЗ
</p>";html;/upload/iblock/198/198080e9e9944604b39bc52c5b3137b1.jpg;"<p>
	<img src=""images/1394.jpg"" alt="""">
</p>
<p>
	<strong>Уважаемые партнеры!</strong>
</p>
<p>
	В связи с <strong>корректировкой цен от поставщика</strong> произошло изменение стоимости продукции BRADY.
</p>
<p>
	Прайс-лист <strong>обновлен 11 января 2018 года в 16:00</strong> (МСК) и доступен для скачивания в ЭСРЗ.
</p>
<p>
	Пожалуйста, используйте <strong>корректную версию</strong> прайс-листа для работы.
</p>";html;;500;новости, дилеры, 2018;;;
181948;Новинки от BRADY уже в ЮНИТ МАРК ПРО;181948;Y;16.01.2018 17:25:00;;/upload/iblock/edb/edbf7668f9cf4ee37d41b285997cd524.jpg;Первый в России принтер BRADY i7100 уже в нашем демо-зале в Москве;html;/upload/iblock/2c7/2c7e26a17cac66aa2c1523ef588f9349.jpg;"<p>
	 В конце прошлого года компания BRADY представила новый <a href=""products/1832-printer-etiketok-brady-i7100"" target=""_blank"">принтер этикеток i7100</a>. Он пришел на замену модели BP-PR и во многом превосходит своего предшественника (<a href=""about/news/1045-samyj-bystryj-brady"" target=""_blank"">ОБЗОР</a>). Принтер интересный и многообещающий, хотелось бы взглянуть на него перед покупкой, не так ли? ЮМП дарит всем желающим такую возможность.
</p>
<p>
	 Первый в России принтер BRADY i7100 уже в нашем демо-зале в Москве – приезжайте, оцените новинку и оформите заказ! Первая партия принтеров i7100 в наличии на складе ЮМП. Специалисты ЮНИТ МАРК ПРО ответят на все ваши вопросы, вы увидите принтер в работе и сможете познакомиться с другой продукцией ЮМП: <a href=""products/markirovka/thermotransfer"" target=""_blank"">принтеры</a>, <a href=""products/markirovka/udarno-tochechnaya-markirovka"" target=""_blank"">маркираторы</a>, <a href=""products/promyshlennaya-khimiya/"" target=""_blank"">промышленная химия</a> и <a href=""products/kabelnye-nakonechniki-i-instrumenty/"" target=""_blank"">инструменты</a>. Попасть к нам в офис очень просто – вся информация в разделе <a href=""contacts"" target=""_blank"">КОНТАКТЫ</a>.
</p>
<p style=""text-align: justify;"">
	 Вторая новинка 2017 <a href=""products/1879-tsvetnoj-printer-brady-j5000"" target=""_blank"">цветной принтер BRADY J5000</a> доступен для заказа. Принтер станет отличным решением для печати знаков безопасности и общей маркировки (<a href=""about/news/1070-printer-brady-j5000-otlichnoe-reshenie-dlya-bezopasnogo-proizvodstva"" target=""_blank"">ОБЗОР</a>). Все актуальные артикулы для заказа на <a href=""products/1879-tsvetnoj-printer-brady-j5000"" target=""_blank"">СТРАНИЦЕ ТОВАРА</a>.
</p>
<p style=""text-align: justify;"">
	 В первой четверти 2018 года ожидаем еще один новый принтер: BRADY WRAPTOR A6500. Ожидайте информацию о новинке и сроках поставки в ближайшее время!
</p>";html;;500;новости, дилеры, 2018;;;
181949;Отличная стоимость сорбентов BRADY SPC в 2018 году;181949;Y;17.01.2018 17:33:00;;/upload/iblock/d33/d33a10f7ec47a55aa81ce8b77de86835.jpg;"<p>
 <a href=""dealer/news/1077-otlichnaya-stoimost-sorbentov-brady-spc-v-2018-godu""><img src=""images/banners/2017/2017.01.11_spc_action.jpg"" alt=""""></a>Для всех Дилеров остается единая скидка –15%
</p>";html;/upload/iblock/51d/51d7df029fa6aed0d5d689f7b717ffe1.jpg;"<p style=""text-align: justify;"">
	 Более 30 лет компания BRADY производит средства борьбы с протечками и разливами жидкостей и химических веществ. Подразделение SPC ежедневно совершенствует сорбенты, предлагая новые, более эффективные решения для сбора нефтепродуктов, химикатов, опасных жидкостей или просто воды. Готовые решения BRADY SPC помогут создать полноценную систему для контроля проливов по разумной цене.
</p>
<p style=""text-align: justify;"">
	 Мы продолжаем удерживать цены на&nbsp;<a href=""products/safety/sorbents"" target=""_blank"">линейку сорбентов BRADY</a>&nbsp;на низком уровне для нашей страны. Легкие и практичные сорбенты быстро впитывают и не оставляют следов – более того, их гораздо проще и дешевле утилизировать, за счет чего итоговая стоимость устранения протечки с помощью сорбентов получается даже ниже, чем с помощью песка.
</p>
<p>
	 Для всех Дилеров остается единая скидка –15%, прайс –3% действует в обычном режиме. Скидки для конечных клиентов на данную группу продуктов не распространяются. Срок действия данного предложения до 31.12.2018.
</p>
<p>
 <img width=""1000"" src=""/images/1070.jpg"" height=""233"" title=""Сорбенты Brady""><br>
</p>
<p>
 <span style=""text-align: justify;"">Определенные группы сорбентов совершенно незаменимы и обязательно пригодятся на любом крупном промышленном предприятии. Особой популярностью пользуется </span><a href=""products/515-maslovpityvashchie-pokrytiya-dlya-bochek-i-rezervuarov"" target=""_blank"" style=""text-align: justify; background-color: #ffffff;"">масловпитывающее покрытие для бочек</a><span style=""text-align: justify;""> – сорбент-накладка для стандартной 205-литровой бочки имеет вырубленные отверстия для крана и горловины и отлично впитывает любые случайные проливы. Для устранения нефтепродуктов из влажного воздуха и воды используйте </span><a href=""products/516-volokno-iz-mikrofibry"" target=""_blank"" style=""text-align: justify; background-color: #ffffff;"">волокно из микрофибры</a><span style=""text-align: justify;""> – впитывает до 15 раз больше собственного веса! Для хранения большого количества емкостей с разными жидкостями рекомендуем </span><a href=""products/safety/sorbents/lokalizatsiya-avarijnykh-prolivov"" target=""_blank"" style=""text-align: justify; background-color: #ffffff;"">паллеты и поддоны для проливов</a><span style=""text-align: justify;""> – в том числе для опасных веществ.</span>
</p>
<p style=""text-align: justify;"">
	 Весь спектр поставляемых в Россию сорбентов <a href=""products/safety/sorbents/"" target=""_blank"">смотрите на сайте ЮМП</a>. Современные технологии сделали устранение проливов и протечек быстрым и простым делом – при условии использования сорбентов. И теперь любое промышленное предприятие может себе это позволить за счет существенного снижения стоимости. Продукция BRADY – это инновационные технологии на страже безопасности и эффективности вашего производства.
</p>
<p>
	 <iframe style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/rKadP9VO1y4"" frameborder=""0"" width=""853"" height=""480""></iframe>
</p>";html;;500;новости, дилеры, 2018;;;
181950;Изменение банковских реквизитов ЮМП;181950;Y;18.01.2018 17:44:00;;/upload/iblock/210/210b649ef0fbe7c7429e5cab4d7b7c34.jpg;"<p>
 <a href=""dealer/news/1078-izmenenie-bankovskikh-rekvizitov-yump""><img src=""images/1397.jpg"" alt=""""></a>Применяйте только актуальные реквизиты для расчетов
</p>";html;/upload/iblock/56f/56fd99be4f055e7f41883bcd3e90534f.jpg;"<p>
 <img src=""images/1397.jpg"" alt=""""><strong style=""text-align: justify;"">Уважаемые партнеры!</strong>
</p>
<p style=""text-align: justify;"">
	 В связи с присоединением банка ВТБ24 к банку ВТБ с 1 января 2018 года изменились реквизиты нашей компании.
</p>
<p style=""text-align: justify;"">
	 Ознакомьтесь с <a href=""/images/files/pdf/2018/new_bank_ump.pdf"" target=""_blank"">ОФИЦИАЛЬНЫМ УВЕДОМЛЕНИЕМ</a>
</p>
<p style=""text-align: justify;"">
	 Применяйте только актуальные реквизиты для расчетов.
</p>";html;;500;новости, дилеры, 2018;;;
181951;SIC Marking помогает самолетам летать;181951;Y;22.01.2018 17:54:00;;/upload/iblock/dfa/dfa513bd5259bba21e85a7a38e6ffbfe.jpg;"<p>
	Оптимальное решение задачи: стационарный ударно-точечный маркиратор ec1a от SIC Marking
</p>";html;/upload/iblock/0b5/0b50be6ea01f2d43e9b9f08f429e1902.jpg;"<p style=""text-align: justify;"">
	Взлет и посадка самолета – самые важные и опасные моменты полета. Экипаж и воздушное судно должны сработать идеально, и не последнюю роль в этом тандеме играет шасси – сложное устройство из нескольких сотен деталей. На каждую из которых наносится маркировка для правильной сборки и обслуживания. Как это делается?
</p>
<p style=""text-align: justify;"">
	В первую очередь маркировка должна быть максимально устойчивой к износу и легко читаться – поэтому наносится непосредственно на металл. Крупный производитель шасси и систем управления приводами авиации компания «Либхер-Аэроспейс» использовала для этой цели ручное фрезерование. И получала множество брака из-за пресловутого человеческого фактора – оператор ошибался.
</p>
<p style=""text-align: justify;"">
	Как получить качественную маркировку без брака? Вариант автоматического фрезерования, который рассматривала компания «Либхер-Аэроспейс», предполагал закупку дорогостоящих фрез и написание отдельных программ фрезерования для каждой детали. Специалисты <a href=""https://umpgroup.ru/"" target=""_blank"">ЮНИТ МАРК ПРО</a> предложили оптимальное решение задачи: стационарный <a href=""products/1716-ec1"" target=""_blank"">ударно-точечный маркиратор ec1a</a> от <strong>SIC Marking</strong>.
</p>
<p>
	<img alt=""ударная маркировка"" src=""/images/1400.jpg"">
</p>
<p style=""text-align: justify;"">
	Маркиратор ес1а полностью исключил человеческий фактор, снизив объем брака до 0. Данная модификация обладает осью вращения, что позволило наносить маркировку по окружности. Для маркировки в торец деталей длиной 30 см использована укороченная игла.
</p>
<p style=""text-align: justify;"">
	<a href=""products/1716-ec1"" target=""_blank"">Ударно-точечный маркиратор SIC ec1</a> и <a href=""products/1716-ec1?tab=optsii"" target=""_blank"">множество опций к нему</a> вы можете приобрести в компании ЮНИТ МАРК ПРО. Прямые поставки от производителя и собственный сервисный центр гарантируют адекватную стоимость и качественное послепродажное обслуживание.
</p>";html;;500;новости, дилеры, 2018;;;
181952;Готовая маркировка BRADY;181952;Y;25.01.2018 09:04:00;;/upload/iblock/8f8/8f8c332af6d05d9e268742eb4c50adcb.jpg;"<p><a href=""dealer/news/1082-gotovaya-markirovka-brady"">
<p>Что делать, если объем маркировки очень мал, а хорошая и качественная маркировка нужна?</p>";html;/upload/iblock/b05/b05eefc85ad5419cfeb85b7bfbbcb386.jpg;"<p>	<a href=""products/markirovka/thermotransfer"" target=""_blank"">Термотрансферная маркировка</a> – одна из самых востребованных в мире для идентификации в промышленности. ЮНИТ МАРК ПРО предлагает маркировочные решения на базе оборудования и расходных материалов BRADY. Отличные, производительные <a href=""products/markirovka/thermotransfer/printery-etiketok"" target=""_blank"">принтеры этикеток</a> и <a href=""products/markirovka/thermotransfer/materials"" target=""_blank"">материалы</a>, которые служат многие годы. Но что делать, если объем маркировки очень мал и покупать принтер не хочется, а хорошая и качественная маркировка нужна?
</p>
<p>
	У BRADY есть ответ: <strong>готовая маркировка</strong>. Простые и эффективные решения для маркировки кабеля и провода, общей маркировки, для СКС и электро-щитового оборудования.
</p>
<ul>
	<li><a href=""products/1720-markery-na-kartakh"" target=""_blank""><strong>Маркеры на картах</strong></a></li>
	<li><a href=""products/1721-markery-v-bloknotakh"" target=""_blank""><strong>Маркеры в блокнотах</strong></a></li>
	<li><a href=""products/1723-samolaminiruyushchiesya-markery-v-bloknotakh"" target=""_blank""><strong>Самоламинирующиеся маркеры в блокнотах</strong></a></li>
	<li><a href=""products/1725-temperaturnye-etiketki-odnorazovye"" target=""_blank""><strong>Температурные этикетки (одноразовые)</strong></a></li>
	<li><a href=""products/1726-temperaturnye-etiketki-mnogorazovye"" target=""_blank""><strong>Температурные этикетки (многоразовые)</strong></a></li>
	<li><a href=""products/1899-markery-dlya-nadpisyvaniya"" target=""_blank""><strong>Маркеры для надписывания</strong></a></li>
	<li><a href=""products/1901-plastikovye-klipsy-dlya-markirovki-kabelya-i-provoda"" target=""_blank""><strong>Пластиковые клипсы для маркировки кабеля и провода</strong></a></li>
</ul>
<p>
	<a href=""products/markirovka/thermotransfer/gotovaya-markirovka"" target=""_blank"">Готовая маркировка BRADY</a> обладает отличными эксплуатационными свойствами и широким спектром наименований – наши специалисты смогут подобрать маркеры и клипсы под любую задачу. Все товары представлены в разделе <a href=""products/markirovka/thermotransfer/gotovaya-markirovka"" target=""_blank"">Готовая маркировка</a>.
</p>
<p>
	Еще одна интересная альтернатива термотрансферной маркировке на принтерах – <a href=""products/1661-lat-elat-markirovka-na-ofisnom-printere"" target=""_blank"">материалы LAT/ELAT</a> для печати на обычном лазерном принтере. Все <strong>ЗА</strong> и <strong>ПРОТИВ</strong> этого вида маркировки читайте в <a href=""about/news/861-markirovka-na-lazernom-printere-byt-ili-ne-byt"" target=""_blank"">ОБЗОРЕ</a>. Доступные для заказа <a href=""products/1661-lat-elat-markirovka-na-ofisnom-printere"" target=""_blank"">материалы LAT/ELAT</a> смотрите на нашем сайте.
</p>";html;;500;новости, дилеры, 2018;;;
181953;Голосуй за ЮМП!;181953;Y;29.01.2018 09:12:00;;/upload/iblock/3a8/3a81a95e8f1755582785845ebcf69995.jpg;"<p>
	Уважаемые партнеры! Предлагаем вам оценить успехи Лилии Плехановой
</p>
 <br>";html;/upload/iblock/a2b/a2b6e3f63a8f2b9b4f52cd738da8af1a.jpg;"<p style=""text-align: justify;"">
	На рынке дата-центров преимущественно работают мужчины. На их фоне вклад женщин в развитие данной отрасли не очевиден. Руководитель направления «Телекоммуникации и СКС» в ЮНИТ МАРК ПРО <strong>Лилия Плеханова</strong> своей работой наглядно демонстрирует, что вклад женщины в данное направление может быть более заметен!
</p>
<p style=""text-align: justify;"">
	Для создания правильной и понятной профессионалам системы маркировки Лилия регулярно проводит презентации и семинары, где на практике показывает решения по маркировке в ЦОД. Участники встреч получают полезные знания, основанные на современных стандартах, и могут самостоятельно подобрать решения под свои задачи.
</p>
<p style=""text-align: justify;"">
	В зоне ответственности Лилии Плехановой находится продвижение маркировочных решений BRADY на российском рынке Телеком. Результаты впечатляют: за время работы в компании ЮНИТ МАРК ПРО объемы продаж направления СКС/Телеком существенно выросли за счет реализации интересных проектов, например: <strong>ЦОД РОСБАНК</strong>, <strong>ЦОД АВАНТАЖ</strong>, <strong>ЦОД ВТБ24</strong>, <strong>ЦОД СБЕРБАНК</strong> и многих других.
</p>
<p style=""text-align: justify;"">
	Регулярные выступления Лилии на форумах и конференциях по достоинству оценили: слушатели и команда Гранд-форума BIT-17 в Казани признали доклад «BRADY как стандарт маркировки в ЦОД» лучшим докладом форума.
</p>
<p style=""text-align: justify;"">
	Предлагаем и вам, уважаемые партнеры, оценить успехи Лилии Плехановой и проголосовать за нее в <a href=""http://nprdc.ru/"" target=""_blank"">конкурсе «Национальная премия «ЦОДы.РФ»</a> в двух номинациях:
</p>
<ol>
	<li><a href=""http://nprdc.ru/participants/golosovat.html?detail=15"" target=""_blank""><strong>DCLady</strong></a></li>
	<li><a href=""http://nprdc.ru/participants/golosovat.html?detail=18"" target=""_blank""><strong>Голос года</strong></a></li>
</ol>";html;;500;новости, дилеры, 2018;;;
181954;Новый прайс-лист WEICON;181954;Y;01.02.2018 09:16:00;;/upload/iblock/9a9/9a9d4360e368da4121ed79ff041568e4.jpg;<p>Выросла стоимость промышленной химии и ручных инструментов</p>;html;/upload/iblock/b72/b7279533e2a10e25f468f90a0ee987c9.jpg;"<p style=""text-align: justify;"">
	<strong>Уважаемые партнеры!</strong>
</p>
<p style=""text-align: justify;"">
	<strong>С 1 марта 2018 года произойдет изменение цен</strong> на промышленную химию WEICON и ручные инструменты WEICON-Tools. Это обусловлено ростом стоимости сырьевых компонентов в Европе и, как следствие, соответствующим изменением цен на продукцию компании-производителя WEICON.
</p>
<p style=""text-align: justify;"">
	Стоимость <strong>промышленной химии WEICON вырастет примерно на 3%</strong>, новый прайс-лист ЮМП будет доступен для скачивания в ЭСРЗ с <strong>22 февраля 2018 года</strong>.
</p>
<p style=""text-align: justify;"">
	Впервые за последние 2 года изменяется <strong>стоимость инструментов WEICON-Tools, ценник вырастет совсем незначительно: в пределах 0,5%</strong>. Новый прайс-лист ЮМП будет доступен для скачивания в ЭСРЗ с <strong>22 февраля 2018 года</strong>.
</p>";html;;500;новости, дилеры, 2018;;;
181955;Знакомство с новинками BRADY: каталоги i7100 и J5000 доступны для скачивания;181955;Y;05.02.2018 09:19:00;;/upload/iblock/c17/c17fb46d84c56d0920c4498d0691936d.jpg;<p>Описание, технические характеристики и много полезной информации</p>;html;/upload/iblock/a29/a297edba5e63ff814b4981fbb3ac9791.jpg;"<p style=""text-align: justify;"">В конце 2017 года компания BRADY порадовала нас сразу двумя новинками: <a href=""products/1832-printer-etiketok-brady-i7100"" target=""_blank"">термотрансферным принтером BRADY i7100</a> и <a href=""products/1879-tsvetnoj-printer-brady-j5000"" target=""_blank"">струйным цветным принтером BRADY J5000</a>.</p>
<p style=""text-align: justify;"">Принтер этикеток i7100 заменил снятый с производства BP-PR и превзошел ветерана в возможностях. Скорость печати <strong>до 300 мм/сек</strong>, разрешение <strong>до 600 dpi</strong>, <strong>7000 этикеток в день</strong> – это лишь малая часть возможностей BRADY i7100.</p>
<p style=""text-align: justify;"">Цветной струйный принтер BRADY J5000 – удачный выбор для печати знаков безопасности и общей маркировке на предприятии. Внушительная <strong>ширина печати 203 мм</strong>, огромная <strong>встроенная база знаков безопасности</strong>, маркировки трубопровода и других этикеток. BRADY J5000 печатает маркировку, которая реально помогает снизить угрозу возникновения аварий и травматизма на производстве.</p>
<p style=""text-align: justify;"">Самое полное описание новых принтеров, подробные технические характеристики, дополнительное оборудование и расходные материалы вы найдете в каталогах:</p>
<ul>
<li><a class=""with-icon icon-pdf"" href=""#"" onclick=""catalog(78); return false;""><strong>Скачать каталог BRADY i7100</strong></a></li>
<li><a class=""with-icon icon-pdf"" href=""#"" onclick=""catalog(79); return false;""><strong>Скачать каталог BRADY J5000</strong></a></li>
</ul>
<p style=""text-align: justify;"">Заполните небольшую форму обратной связи и получите PDF-версию на указанную вами почту немедленно! Обращаем ваше внимание, что для точного подбора расходных материалов следует обратиться к менеджеру ЮМП. Каталоги также доступны во вкладке ИНФО в карточке товара на сайте.</p>
<p style=""text-align: justify;"">Увидеть новинки BRADY в работе и своими глазами оценить потенциал принтеров можно уже сегодня в демонстрационном зале ЮНИТ МАРК ПРО в Москве!</p>";html;;500;новости, дилеры, 2018;;;
181956;Бизнес-завтраки компании «Ростелеком»: новый формат общения;181956;Y;07.02.2018 09:22:00;;/upload/iblock/b3b/b3b94bcad8601fb5b2a35a4dd3b68081.jpg;<p>Компания «ЮМП» выступила партнером бизнес-завтраков «Ростелекома»</p>;html;/upload/iblock/d24/d2453d96f3775c2bf58de69c205485af.jpg;"<p style=""text-align: justify;"">
	 «Ростелеком» – одна из крупнейших в России и Европе телекоммуникационных компаний, присутствующая во всех сегментах рынка услуг связи.
</p>
<p style=""text-align: justify;"">
	 В 2017 году в операторском сегменте «Ростелекома» прошло обновление команды, что привело к пересмотру позиционирования компании на рынке операторских услуг.
</p>
<p style=""text-align: justify;"">
	 Начальник отдела взаимодействия с операторами связи МРФ «Юг», Екатерина Казакова, предложила новый формат общения: «Бизнес - завтраки». Компания «ЮНИТ МАРК ПРО» выступила партнером мероприятий.
</p>
<p>
 <img src=""/images/news/Rostelecom_news-1jpg.jpg"" alt="""">
</p>
<p style=""text-align: justify;"">
	 Формат бизнес-завтраков подтвердил свою актуальность и востребованность. Команда операторского сегмента по-новому взглянула на политику взаимодействия с клиентами и организовала серию дискуссионных площадок: первое мероприятие состоялось 13 декабря в Ростове-на-Дону, последующие 19 декабря в Краснодаре и 23 января в Ставрополе.
</p>
<p style=""text-align: justify;"">
	 На бизнес-завтраках «Ростелекома» собрались действующие партнеры и новые операторы, сотрудничество с которыми только начинается. Участникам подробно рассказали об услугах компании и новых подходах в обслуживании операторов связи.
</p>
<p style=""text-align: justify;"">
	 Эффективность нового формата взаимодействия подтвердил Павел Шалюгин, директор департамента по работе с операторами связи «Ростелеком-Юг»: «Для того чтобы сделать сотрудничество взаимовыгодным, в бизнес-процессы «Ростелекома» внесен целый ряд кардинальных изменений. Мы приглашаем операторов связи к диалогу, чтобы совместно выработать лучшие решения. Этого требует стремительно развивающийся рынок, необходимость в оптимизации расходов и постоянно растущие потребности клиентов в качественных услугах связи».
</p>
<p>
 <img src=""/images/news/Rostelecom_news-2.jpg"" alt="""">
</p>
<p style=""text-align: justify;"">
	 На правах партнера компания «ЮНИТ МАРК ПРО» предоставила для розыгрыша в праздничной лотерее специальные призы – термотрансферные принтеры для маркировки оборудования и кабелей связи <a href=""products/1539-brady-bmp21-plus"">BRADY BMP21 PLUS</a>
</p>
<p>
 <img src=""/images/news/Rostelecom_news-3.jpg"" alt="""">
</p>
<p style=""text-align: justify;"">
	 Задачи по маркировке, решаемые данным принтером оказались очень актуальны и вызвали интерес у участников встречи. Готовность к дальнейшему диалогу участников «завтрака» с компанией «ЮМП» была высокой, а счастливые обладатели принтеров BRADY готовы проверить их возможности на своем рабочем месте уже сегодня.
</p>
<p style=""text-align: justify;"">
	 До встречи на очередных бизнес-завтраках компании <a href=""https://www.rostelecom.ru/mainpage/"">«Ростелеком»</a>.
</p>";html;;500;новости, дилеры, 2018;;;
