IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
182065;Антикор - надежная защита от коррозии металлов;182065;Y;26.03.2014;;;"<p><a href=""/primenenie/polezno-znat/340-antikor-nadjozhnaya-konservatsionnaya-zashchita-ot-korrozii-metallicheskikh-poverkhnostej""><img src=""/images/solutions/corro_protect.jpg"" alt=""антикор; защита от коррозии"" /></a></p>
<p>Средний период работы любого станка, прибора или инструмента составляет около 80% его гарантированного жизненного цикла, остальные 20% приходятся на наладку, ремонт, консервацию и хранение</p>";html;;"<p><img src=""/images/solutions/corro_protect.jpg"" alt=""антикор; защита от коррозии"" /></p>
<p>Статистика утверждает, что средний период работы любого станка, прибора или инструмента составляет около 80% его гарантированного жизненного цикла, заявленного производителем. Остальные 20% приходятся на наладку, ремонт, а также консервацию и хранение. Существенную роль в консервации играет качественный антикор.</p>
<p>К сожалению, в процессе активной эксплуатации оборудования вопросы по ремонту, консервации и его хранению решаются по остаточному принципу. Что, казалось бы, странно, потому что внимание, уделенное, например, консервации металлических поверхностей, особенно во время транспортировки и предпродажного хранения, а так же при обычном хранении оборудования, в будущем поможет избежать <strong>проблем с коррозией</strong>.</p>
<p>А именно коррозия является самой распространённой болезнью оборудования, которая может привести не просто к поломке и ремонту оборудования, но и к полной его замене на новые аппараты. Самое эффективное средство борьбы с коррозией - <a href=""/products/promyshlennaya-khimiya/antikorrozionnye-sostavy"" target=""_blank"">антикор WEICON</a>.</p>
<p><strong><em>Грамотная консервация:</em></strong></p>
<p>Это процесс, который заключается в определенной последовательности действий:</p>
<ol>
<li>подготовка поверхностей;</li>
<li>обработка средствами для защиты от коррозии;</li>
<li>правильная упаковка оборудования.</li>
</ol>
<p>Процесс консервации прописан в стандарте <strong>ГОСТ 9.014-78</strong> «Единая система защиты от коррозии и старения материалов и изделий. Временная противокоррозионная защита изделий. Общие требования». В нем рассматриваются методики временной консервации изделий и оборудования, и в частности большое внимание уделено консервации изделий из черных и цветных металлов восковыми составами.</p>
<table border=""0"" cellspacing=""20"" cellpadding=""20"">
<tbody>
<tr>
<td><a href=""/images/solutions/corro_protect_01.jpg"" target=""_blank"" title=""УВЕЛИЧИТЬ""><img src=""/images/solutions/corro_protect_01s.jpg"" alt=""антикор; защита от коррозии"" /></a></td>
<td><a href=""/images/solutions/corro_protect_02.jpg"" target=""_blank"" title=""УВЕЛИЧИТЬ""><img src=""/images/solutions/corro_protect_02s.jpg"" alt=""антикор; защита от коррозии"" /></a></td>
<td><a href=""/images/solutions/corro_protect_03.jpg"" target=""_blank"" title=""УВЕЛИЧИТЬ""><img src=""/images/solutions/corro_protect_03s.jpg"" alt=""антикор; защита от коррозии"" /></a></td>
</tr>
</tbody>
</table>
<p><strong><em>Восковые составы:</em></strong></p>
<p>Обладают консервационной защитой (защитой от коррозии) металлических поверхностей, что позволяет на долгое время (более 4 месяцев) хранить оборудование на отрытом воздухе, в том числе при морской транспортировке.</p>
<p><strong><em>Антикор:</em></strong></p>
<p>Обеспечить такую защиту от коррозии металлических деталей можно с помощью специального покрытия-антикора <a href=""/products/372-smazyvayushchie-sostavy"" target=""_blank"">Corro-Protection</a> от немецкого производителя <a href=""/about/brands/weicon"" target=""_blank"">WEICON</a>. Это уникальная смесь синтетического воска, ингибиторов коррозии и растворителей. Продукт обеспечивает длительную защиту от коррозии металлических поверхностей деталей, инструментов, прочих изделий при хранении до 2,5 лет в складском помещении и до 4 месяцев при температуре от -21 до +80° С, что очень удобно во время транспортировки, в том числе и морским способом.</p>
<p><strong>Антикор WEICON Corro-Protection отличают следующие преимущества</strong>:</p>
<ol>
<li>Производится в форме спрея: возможность локального применения в любых труднодоступных местах;</li>
<li>При нанесении средство формирует защитный прозрачный слой-пленку толщиной около 50-80 микрометров – что обеспечивает консервационную защиту от коррозии металлических поверхностей сроком более 3 месяцев;</li>
<li>Тонкая защитная плёнка не дает возможности оборудованию испачкаться, загрязниться во время консервации, не требует обертывания дополнительной бумагой или упаковкой.</li>
</ol>
<p>Продукт наносится на очищенную - например, с помощью <a href=""/products/1587-universalnyj-ochistitel-cleaner-s"" target=""_blank"">WEICON Сlеаner S</a> - поверхность и подвергается сушке при температуре 21° С в течение 4 часов. При необходимости защитная пленка может быть легко удалена с помощью того же очистителя WEICON Сlеаner S.</p>
<p>Поэтому, если вы хотите сохранить оборудование в рабочем режиме, не стоит пренебрегать вопросами его правильной и безопасной консервации. Такие современные средства, как антикор Corro-Protection от WEICON, помогут вам быстро, легко, а главное эффективно защитить ваше оборудование от коррозии.</p>";html;;500;;;;
182066;Как подобрать риббоны для принтера;182066;Y;27.03.2014;;;"<p><a href=""/primenenie/polezno-znat/341-kak-podobrat-ribbony-dlya-printera""><img src=""/images/1313.jpg"" alt=""риббон; красящая лента"" /></a></p>
<p>Правильность подбора риббона к материалу определяет качество маркировки</p>";html;;"<p><img src=""/images/1313.jpg"" alt=""риббон; красящая лента"" /></p>
<p>Все риббоны (красящая лента) Brady разработаны с учетом требований материалов для печати. Причиной для этого послужило то, что связь между риббоном и этикеткой определяет качество маркировки. Brady предлагает полную линейку риббонов, разработанных с учетом всех требований маркировки.</p>
<table class=""table table-bordered simpleTable"">
<thead>
<tr><th>Серия риббона/артикул</th><th>Диаграмма устойчивости</th><th>Тип</th><th>Характеристики/цвет</th></tr>
</thead>
<tbody>
<tr>
<td>R-7940</td>
<td rowspan=""4""><a class=""imgbox"" href=""/images/useful/brady/ribbons/wax.gif"" target=""_blank""><img src=""/images/useful/brady/ribbons/wax.gif"" width=""250"" /></a></td>
<td rowspan=""4"">WAX риббон — термотрансферная красящая лента на восковой основе</td>
<td rowspan=""4"">Недорогой риббон общего назначения для печати на бумаге или временной маркировки. Диаграмма только показывает результаты от риббонов, с помощью которых напечатан текст на бумаге. Все wax риббоны имеют примерно одинаковые свойства. Цвет: черный.</td>
</tr>
<tr>
<td>R-7941</td>
</tr>
<tr>
<td>R-7942</td>
</tr>
<tr>
<td>R-6100</td>
</tr>
<tr>
<td>R-4300</td>
<td rowspan=""2""><a class=""imgbox"" href=""/images/useful/brady/ribbons/4300.gif"" target=""_blank""><img src=""/images/useful/brady/ribbons/4300.gif"" width=""250"" /></a></td>
<td rowspan=""3"">WAX/RESIN риббон — термотрансферная красящая лента на основе смеси воска и синтетических смол</td>
<td rowspan=""2"">Это высококачественный wax/resin риббон. Отличная печать получается на грубой поверхности. Цвет: черный.</td>
</tr>
<tr>
<td>R-7950</td>
</tr>
<tr>
<td>R-7953</td>
<td><a class=""imgbox"" href=""/images/useful/brady/ribbons/7953.gif"" target=""_blank""><img src=""/images/useful/brady/ribbons/7953.gif"" width=""250"" /></a></td>
<td>Это недорогой wax/resin риббон, который должен быть использован на шероховатых поверхностях. R-7953 имеет более низкую химическую устойчивость и устойчивость к смазыванию по сравнению с R-7950. Цвет: черный.</td>
</tr>
<tr>
<td>R-4600</td>
<td> </td>
<td rowspan=""9"">RESIN риббон — термотрансферная красящая лента на основе синтетических смол</td>
<td>Этот риббон используется только на В-520 и В-282.</td>
</tr>
<tr>
<td>R-4800</td>
<td> </td>
<td>Этот риббон используется только на В-434, В-487 и В-497.</td>
</tr>
<tr>
<td>R-4900</td>
<td><a class=""imgbox"" href=""/images/useful/brady/ribbons/4900.gif"" target=""_blank""><img src=""/images/useful/brady/ribbons/4900.gif"" width=""250"" /></a></td>
<td>Более устойчивый к растворителям по сравнению R-7960, но имеет более высокую устойчивость к истиранию. Цвет: черный.</td>
</tr>
<tr>
<td>R-6000</td>
<td><a class=""imgbox"" href=""/images/useful/brady/ribbons/6000.gif"" target=""_blank""><img src=""/images/useful/brady/ribbons/6000.gif"" width=""250"" /></a></td>
<td>Это высококачественный риббон с отличной устойчивостью к растворителям, истиранию и смаазыванию. Этот риббон имеет самую высокую устойчивость к тормозной жидкости, если напечатан на В-422, В-483, В-423. Цвет: черный.</td>
</tr>
<tr>
<td>R-6002</td>
<td> </td>
<td>Риббон аналогичен R-7961, но оставляет более темную печать. Этот риббон может быть использован когда требуется высокая устойчивость к истиранию, но не требуется высокая химическая устойчивость.</td>
</tr>
<tr>
<td>R-7960</td>
<td><a class=""imgbox"" href=""/images/useful/brady/ribbons/7960.gif"" target=""_blank""><img src=""/images/useful/brady/ribbons/7960.gif"" width=""250"" /></a></td>
<td>Черный риббон с хорошей устойчивостью к растворителям (за исключением спиртов), но с низкой устойчивостью к истиранию. Цвет: черный.</td>
</tr>
<tr>
<td>R-7961</td>
<td><a class=""imgbox"" href=""/images/useful/brady/ribbons/7961.gif"" target=""_blank""><img src=""/images/useful/brady/ribbons/7961.gif"" width=""250"" /></a></td>
<td>Этот риббон может быть использован когда требуется высокая устойчивость к истиранию, но не требуется высокая устойчивость к химическим растворителям. Обеспечивает нетемный отпечаток. Эквивалентен риббону R-6200. Цвет: черный.</td>
</tr>
<tr>
<td>R-7962</td>
<td><a class=""imgbox"" href=""/images/useful/brady/ribbons/7962.gif"" target=""_blank""><img src=""/images/useful/brady/ribbons/7962.gif"" width=""250"" /></a></td>
<td>Этот риббон имеет очень хорошую устойчивость к растворителям. Отличный риббон для использования в автомобильной промышленности. Высокая устойчивость к бензину, но более низкая устойчивость к спиртам. Имеет очень хорошую устойчивость к истиранию и должен быть использован на ровных поверхностях.</td>
</tr>
<tr>
<td>R-7964</td>
<td><a class=""imgbox"" href=""/images/useful/brady/ribbons/7964.gif"" target=""_blank""><img src=""/images/useful/brady/ribbons/7964.gif"" width=""250"" /></a></td>
<td>Это недорогой риббон. Его свойства аналогичны R-7961, но имеет более темный отпечаток.</td>
</tr>
<tr>
<td>R-4400</td>
<td> </td>
<td>Термотрансферная красящая лента на основе синтетических смол.</td>
<td>Высокая плотность, прекрасная устойчивость к растворителям, воздействию тепла, истиранию. Надежное качество печати обеспечивает максимальную читаемость штрих-кода. Цвет: синий, зеленый, красный и белый.</td>
</tr>
<tr>
<td>R-4500</td>
<td> </td>
<td>Термотрансферная красящая лента на основе смеси воска и синтетических смол.</td>
<td>Устойчив к внешним воздействиям, химикатам, смазыванию, высокая четкость печати. Цвет: синий, зеленый, красный и серебристый.</td>
</tr>
<tr>
<td>R-6400</td>
<td> </td>
<td rowspan=""2"">Термотрансферная красящая лента на основе синтетических смол.</td>
<td>Высокая устойчивость к химикатам в комбинации со специфическими материалами. Цвет: черный.</td>
</tr>
<tr>
<td>R-6600</td>
<td> </td>
<td>Максимальная устойчивость к химикатам в комбинации со специфическими материалами. Цвет: черный.</td>
</tr>
</tbody>
</table>
<p>Оценки вариьируются от 1 до 5:</p>
<ul>
<li>1 - очень плохо</li>
<li>2 - плохо</li>
<li>3 - средне</li>
<li>4 - хорошо</li>
<li>5 - очень хорошо</li>
</ul>
<p><strong>Примечание:</strong> надо иметь в виду, что диаграммы не дают точную картину по риббону. Они дают представление для выбора наиболее подходящего риббона</p>
<p>Для подбора риббона исходя из <em>имеющегося материала Brady</em>, смотрите <a href=""/images/useful/brady/ribbons/UMP_tablitza_podbor-ribbon-material.pdf"" target=""_blank"">таблицу соответствия риббона материалу</a></p>
<p><strong>Описание свойств и методов тестирования</strong></p>
<table class=""table table-bordered simpleTable"">
<thead>
<tr><th>Наименование свойств</th><th>Описание свойства и метода тестирования</th></tr>
</thead>
<tbody>
<tr>
<td>ИПС</td>
<td>
<ul>
<li>Устойчивость к изопропиловому спирту</li>
<li>15 сек протирание ваткой на палочке, смоченной в ИПС.</li>
</ul>
</td>
</tr>
<tr>
<td>Бензин</td>
<td>
<ul>
<li>Устойчивость к бензину</li>
<li>15 сек протирание ваткой на палочке, смоченной в бензине.</li>
</ul>
</td>
</tr>
<tr>
<td>Растворители</td>
<td>
<ul>
<li>Устойчивость к растворителям (усредненная)</li>
<li>Проверялась устойчивость к следующим растворителям:
<ul>
<li>N-гексан;</li>
<li>Толуэн;</li>
<li>1,1,1 трихлорэтан;</li>
<li>Ацетон;</li>
<li>МЕК;</li>
<li>Вода;</li>
<li>Скайдрол;</li>
<li>Изооктан</li>
</ul>
</li>
</ul>
</td>
</tr>
<tr>
<td>Истирание</td>
<td>
<ul>
<li>Устойчивость к истиранию</li>
<li>Соскребывание 15 сек ногтем текст на этикетке</li>
</ul>
</td>
</tr>
<tr>
<td>Смазывание</td>
<td>
<ul>
<li>Устойчивость к смазыванию</li>
<li>Трение 15 сек пальцем текста на этикетке</li>
</ul>
</td>
</tr>
<tr>
<td>Качество печати</td>
<td>Оценивалась плотность черноты текста, контраст и края штрих-кода.</td>
</tr>
</tbody>
</table>
<p>После выбора риббона обязательно требуется тестирование в реальных условиях задачи.</p>";html;;500;;;;
182067;Почему важна маркировка кабеля и провода?;182067;Y;21.04.2014;;;"<p><a href=""/primenenie/polezno-znat/362-pochemu-vazhna-markirovka-kabelya-i-provoda""><img src=""/images/1192.jpg"" alt=""маркировка кабеля; маркировка провода"" /></a></p>
<p><strong>Идентификация провода</strong> необходима во время установки и для модификации сети и осуществления ремонтных работ. Самым простым и эффективным решением для идентификации является маркировка кабеля и провода</p>";html;;"<p><img src=""/images/products/printers/Primenenie/marking_cable_brady_01.png"" alt=""маркировка кабеля; маркировка провода"" /></p>
<p>Идентификация провода необходима не только при прокладке кабеля, но также при модификации сети и осуществления ремонтных работ. Кроме того, идентификация провода и кабеля важна с точки зрения безопасности. Самым простым и эффективным решением для идентификации является маркировка кабеля и провода.</p>
<p>Ясная и подробная система идентификации проводов неизбежно сэкономит большое количество времени. Маркировка делает легким ремонт и инсталляцию, помогая инженеру локализовать проблему.</p>
<p>Крупнейший поставщик готовых решений для маркировки кабеля и провода компания BRADY предлагает целый ряд <a href=""/products/markirovka/thermotransfer"" target=""_blank"">принтеров для термотрансферной маркировки</a>.</p>
<p>Маркировка кабеля и провода может быть двух видов: <strong>самоклеящаяся</strong> и <strong>неклеевая</strong>, термотрансферные решения BRADY позволяют печатать этикетки обоих типов на любом из своих принтеров. Если вас интересует маркировка провода - советуем обратить внимание на <a href=""/products/1539-brady-bmp21-plus"" target=""_blank"">принтер этикеток BRADY BMP21-Plus</a>, компактный и удобный, с большим выбором материалов.</p>
<p>Маркировка кабеля требует устройства посерьезнее. В первую очередь познакомьтесь с портативным <a href=""/products/613-printer-bmp71"" target=""_blank"">принтером этикеток BRADY BMP71</a>. Обладая внушительным функционалом специально для печати маркировки для кабеля, он не занимает много места и снабжен ручкой для переноски к месту маркировки.</p>
<p> </p>
<p><strong><span>Самоламинирующиеся маркеры</span></strong></p>
<p> </p>
<p><img src=""/images/products/printers/Primenenie/marking_cable_brady_02.png"" alt=""маркировка кабеля; маркировка провода"" /></p>
<p>Самый эффективный и удобный способ маркировки провода от 2 мм до 56 мм</p>
<p><strong>Самоламинирующийся маркер</strong> представляет представляет собой пленку, имеющую матовую непрозрачную часть – для нанесения маркировки и прозрачную часть – для защиты уже нанесенной маркировки от различных, в том числе механических воздействий. Вся полоска имеет специальное клеевое покрытие, полимеризующееся при надавливании.</p>
<p>Смотрите как правильно использовать самоламинирующийся маркер в обучающем <a href=""/about/news/846-kak-pravilno-markirovat-kabel-i-provod-samolaminiruyushchimisya-etiketkami"" target=""_blank""><strong>ВИДЕО</strong></a></p>
<p>Прозрачная часть прочно защищает надписанное поле маркера, обеспечивает надежную маркировку даже на загрязненной поверхности кабеля.</p>
<p><em>Материал маркера В-427:</em><br /><em>Толщина материала – 0.102 мм</em><br /><em>Температура: -80°С – +60°С</em></p>
<p> </p>
<p> </p>
<p><strong><span>Преимущества</span></strong></p>
<p>Маркировку с использованием самоламинирующегося маркера можно производить на любом этапе монтажа. Маркеры Brady отличаются прекрасной устойчивостью к внешним воздействиям, к абразивному истиранию, так как поле с нанесенной информацией имеет дополнительную защиту (ламинат).</p>
<p><img src=""/images/products/printers/Primenenie/marking_cable_brady_samolam.png"" alt=""маркировка провода"" /></p>
<p><iframe src=""https://www.youtube.com/embed/q5cwXN1tEIk"" frameborder=""0"" width=""854"" height=""480""></iframe></p>";html;;500;;;;
182068;Производство должно быть и чистым, и безопасным! ;182068;Y;14.05.2014;;;"<p><a href=""/primenenie/polezno-znat/377-proizvodstvo-dolzhno-byt-i-chistym-i-bezopasnym""><img src=""/images/1314.jpg"" alt=""сорбенты"" /></a></p>
<p>Из большого ассортимента сорбентов важно выбрать тот, который обеспечит чистоту, будет безопасен для производственного оборудования и экономически выгоден в применении</p>";html;;"<p><img src=""/images/1314.jpg"" alt=""сорбенты"" /></p>
<p>Большинство крупных российских предприятий для предотвращения или ликвидации протечек и проливов <strong>отказались от использования устаревших материалов</strong> - ветоши, песка, глины или опилок. На смену морально устаревшим подручным материалам пришли промышленные сорбирующие вещества для сбора масел, смазочных веществ и других жидкостей. Однако, при большом выборе современных сорбентов, важно выбрать тот, что не только обеспечит чистоту, но и будет безопасен для производственного оборудования и экономически выгоден в применении.</p>
<p><strong>Проблемы экологии и безопасности производства</strong> являются особо актуальными в последние годы. Современный рынок сорбентов с каждым днем предлагает все больший выбор продукции для сбора протечек масел и смазочных веществ, в том числе нефти, мазута и дизеля, часто встречающихся на производстве. Но не каждый из них удобен в применении и способен обеспечить необходимые качество уборки и безопасность для оборудования. Например, сорбент промышленный для сбора горючих жидкостей не может и не должен быть воспламеняемым, в отличие от продукции на основе мха, опилок, синтепона или пенопласта. Если ошибиться в подборе сорбента, собирающего определенную жидкость, то он или не справится с поставленной задачей, или просто будет не способен ее выполнить эффективно. Что в итоге приведет к финансовым и экологическим потерям.</p>
<table border=""0"" cellspacing=""10"" align=""center"">
<tbody>
<tr>
<td><a class=""imgbox"" href=""/images/products/brady/sorbenti1.jpg""><img src=""/images/products/brady/sorbenti1.jpg"" alt=""нетканный сорбент"" width=""230"" /></a></td>
<td><a class=""imgbox"" href=""/images/products/brady/sorbenti2.jpg""><img src=""/images/products/brady/sorbenti2.jpg"" alt=""сорбент для нефтепродуктов"" width=""230"" /></a></td>
<td><a class=""imgbox"" href=""/images/products/brady/sorbenti3.jpg""><img src=""/images/products/brady/sorbenti3.jpg"" alt=""сорбент промышленный"" width=""230"" /></a></td>
<td><a class=""imgbox"" href=""/images/products/brady/sorbenti4.jpg""><img src=""/images/products/brady/sorbenti4.jpg"" alt=""волокнистый сорбент"" width=""230"" /></a></td>
</tr>
</tbody>
</table>
<p>Применение <strong>инновационных волокнистых сорбентов из полипропилена</strong> уже доказало свою эффективность. Так как <strong>полипропилен</strong> является продуктом нефтепереработки, он способен легко поглощать жидкости на масляной основе и нефтепродукты. Чистый полипропилен по своей природе является гидрофобным материалом, т.е. материалом, который легко впитывает масляные жидкости даже с поверхности воды не впитывая саму воду. Именно гидрофобные материалы используются для очистки воды от нефти, удаления разливов и протечек нефти.</p>
<p><strong>Сорбенты на пропиленовой</strong> основе являются выгодной альтернативой гранулированным сыпучим сорбентам, не смотря на то, что закупочная цена существенно различается. Сравните данные.</p>
<p><em>Таблица. Затраты на удаление пролива 200 литров масла*</em></p>
<table class=""table table-bordered"">
<thead>
<tr><th> </th><th>Гранулированные сорбенты</th><th>Полипропиленовые сорбенты</th></tr>
</thead>
<tbody>
<tr>
<td><span>Материал, кг</span></td>
<td>200 кг (1 кг гранулированного материала поглощает 1 л масла</td>
<td>10 кг (1 кг салфеток поглощает 20 л масла)</td>
</tr>
<tr>
<td><span>Цена, евро/кг</span></td>
<td>1</td>
<td>15</td>
</tr>
<tr>
<td><span>Количество отходов, кг</span></td>
<td>400 кг (200 л масла+200 кг гранул)</td>
<td>210 кг (200 л масла+10 кг салфеток)</td>
</tr>
<tr>
<td>Стоимость утилизации, евро/кг<strong><br /></strong></td>
<td>0,5</td>
<td>0,5</td>
</tr>
<tr>
<td><strong>Общая стоимость, евро</strong></td>
<td><strong>400 (200+200)</strong></td>
<td><strong>255 (150+105)</strong></td>
</tr>
</tbody>
</table>
<p><em>*Базовый анализ с использованием примерных и средних данных.</em></p>
<p>В США и Европе нетканные сорбенты из полипропилена используются уже очень давно. Американская корпорация Brady SPC производит сорбирующие материалы уже много лет и стала одним из лидеров в области промышленной безопасности, предлагая готовые решения для предотвращения и устранения любых видов протечек и проливов.</p>
<p><a href=""/products/sorbents/"">Сорбенты Brady SPC</a> выпускаются в различных формах и отличаются друг от друга по цвету, для удобства использования при сборе определенного типа жидкости (вода, маслосодержащие жидкости, химические жидкости). Кроме сорбентов выпускаются дополнительные продукты, которые могут применяться на всех видах производства для поддержания чистоты и безопасности:</p>
<p><img src=""/images/pictures/sorbenti4.jpg"" alt=""сорбирующие материалы; сорбирующие боны"" width=""200"" /></p>
<ul>
<li>Специальные промышленные сорбенты различных форм и применения (как внутри помещения, так и на воде) для контроля проливов: сорбирующие салфетки, рулоны, подушки, покрытия для емкостей различных форм, сорбирующие боны;</li>
<li>Готовые комплекты для ликвидации проливов жидкостей объемом от 2 до 2000 литров;</li>
<li>Поддоны, паллеты и модульные настилы для локализации проливов и удержания протечек различных объемов, а также для хранения бочек и контейнеров IBC в помещении;</li>
<li>Специальные модульные центры для хранения сорбентов в цеху.</li>
</ul>
<p> </p>
<p><strong>Сорбенты Brady SPC</strong> - это экономичные в использовании, удобные в хранении и транспортировке, безопасные при утилизации материалы. Результатом применения волокнистых сорбентов из полипропилена на отдельно взятом предприятии является забота о безопасности производства и оборудования, о здоровье сотрудников и об экономической эффективности современного производства.</p>
<p>Мы предлагаем вам сорбенты, которые помогу обеспечить данный результат.</p>";html;;500;;;;
182069;Маркировка СКС по ГОСТу при помощи одного аппарата;182069;Y;16.05.2014;;;"<p>""...Отсутствие корректной маркировки неизбежно приводит к сложностям масштабирования, администрирования и реорганизации сети связи. Возникает путаница, усложняющая работу персонала, обслуживающего кабельную систему, и увеличивающая сроки выявления и устранения неисправностей в системе. А бюджет компании несет денежные потери из-за простоя оборудования..."" (Смотреть видео)</p>";html;;"<p>Сегодня в мире принят<strong> стандарт TIA/EIA-606-B на СКС</strong>, в котором обязательным требованием прописана маркировка компонентов системы: кабелей, патч-панелей, рабочих мест (модулей), шкафов, кроссового оборудования. Поскольку применение маркировки существенно упрощает не только инсталляцию, но и ежедневные задачи администрирования кабельной системы.</p>
<p><strong>Требования к маркировке СКС описаны в пунктах 9.6.3 и 9.8 ГОСТа Р 53246-2008</strong>, где сказано, что все маркеры должны быть напечатаны на механическом устройстве, четко различимы и надежно крепиться на своих местах на протяжении всего срока службы системы (15–20 лет и более).</p>
<p><img src=""/images/pictures/SKS1.jpg"" alt="""" width=""278"" height=""185"" /> <img src=""/images/pictures/SKS2.jpg"" alt="""" width=""279"" height=""185"" /> <img src=""/images/pictures/SKS3.jpg"" width=""123"" height=""185"" /></p>
<p>Хотим отметить, что до сих пор <strong>в большинстве случаев маркировка вообще отсутствует</strong>, а в остальных случаях <strong>встречается маркировка выполненная «от руки» на недолговечных материалах</strong> с использованием бытовых пишущих предметов. Следствием применения данной технологии нанесения маркировки становится отсутствие однозначной идентификации (читаемости) информации при эксплуатации и обслуживании оборудования.</p>
<p>Отсутствие корректной маркировки неизбежно приводит к сложностям масштабирования, администрирования и реорганизации сети связи. Возникает путаница, усложняющая работу персонала, обслуживающего кабельную систему, и увеличивающая сроки выявления и устранения неисправностей в системе. А бюджет компании несет денежные потери из-за простоя оборудования.</p>
<p><img src=""/images/pictures/yellow_wall.jpg"" alt="""" width=""267"" height=""200"" /></p>
<p>Но, существуют решения для создания качественной маркировки по европейскому стандарту TIA/EIA-606-B и российскому ГОСТу Р 53246-2008, предлагаемые корпорацией Brady, на основе технологии термотрансферной печати на полимерных материалах для различных условий эксплуатаций. Именно, использование возможностей термотрансферных принтеров является наиболее эффективным способом создания долговечных и износостойких маркирующих этикеток.</p>
<p>Технология термотрансферной печати заключается в том, что красящий состав с риббона (красящей ленты) переносится на материал этикетки при помощи мгновенного точечного нагрева риббона в местах соприкосновения с материалом. Наносимые таким образом надписи особенно устойчивы к воздействию внешних факторов, не выцветают и не стираются.</p>
<p><strong>В рамках решения задач по маркировке и администрированию СКС-систем по ГОСТу Р 53246-2008 и стандарту TIA/EIA-606-B компания BRADY предлагает новый портативный термотрансферный принтер BMP 21-PLUS</strong> . Универсальный, малогабаритный аппарат, выполняющий полный спектр задач по маркировке электрического и телекоммуникационного оборудования, оборудования систем обработки и передачи данных, на производстве, в лабораториях, а также в офисе и быту.</p>
<p><strong><a href=""/products/1539-brady-bmp21-plus""><img src=""/images/products/printers/bmp21-plus/BMP21plus.png"" alt="""" width=""192"" height=""256"" />BRADY BMP 21-PLUS</a></strong> полностью русифицирован. Имеет удобную эргономику и особо прочную конструкцию: картриджи с системой «Вставь, зафиксируй, печатай», защитные резиновые амортизаторы на корпусе, подсветку экрана. Все это обеспечивает все условия для быстрой и комфортной работы.</p>
<p>Но главное в принтере <strong>BMP 21-PLUS</strong> то, что это <strong>единственный аппарат на российском рынке, при помощи которого можно создать маркировку всей СКС-системы по стандарту TIA/EIA-606-B и ГОСТу</strong> благодаря новой расширенной цветовой палитре и новым размерам маркировочных материалов. Цветовой палитра этикеток включает в себя все прописанные по стандарту цвета СКС (фиолетовый, желтый, коричневый, красный и т.д.). А новый размер материала в 6мм позволяет аккуратно и точно создать маркировку патч-панелей. Кроме того, новый принтер обладает возможностью маркировать кабеля всех категорий, используемых при инсталляции СКС (в том числе, категорий cat5, cat 5e, cat6, многопарных и оптических кабелей).</p>
<p>Также, при помощи данного портативного принтера можно осуществлять маркировку: систем электропитания; активного оборудования; телекоммуникационных помещений и телефонных линий.</p>
<p>Принтер <strong>BRADY BMP 21-PLUS</strong> осуществляет печать при разрешении 203 точек на дюйм, что позволяет варьировать размер шрифта без потери четкости наносимых символов. Это особенно полезно, когда нужно уместить длинный идентификационный номер в маленькое поле.</p>
<p>Кроме того, принтер имеет полезную функцию серийной печати. Достаточно указать нужные параметры, чтобы он быстро напечатал нужное количество маркеров с соблюдением заданной вами логической последовательности. Минимальный размер шрифта составляет 6 пикселей.</p>
<p>Принтер <strong>BMP21-PLUS</strong> обеспечивает полную свободу действий. Позволяет выбрать материалы для этикеток в соответствие с теми внешними условиями, в которых они будут применяться, а также с требуемым по ГОСТу цветовым кодом.</p>
<p>На портативном принтере <strong>BRADY BMP21-PLUS</strong> вы создадите маркировку, которая будет служить долгие годы, и обеспечит быструю и легкую идентификацию системы.</p>
<p> </p>
<p><iframe src=""http://www.youtube.com/embed/7WihDaokid4?list=UUDDDjt0-2mXqYzmii077dKg"" frameborder=""0"" width=""560"" height=""315""></iframe></p>";html;;500;;;;
